yr_month,referrals,charge_issued
2015-01-01,2249,1147
2015-02-01,2012,1083
2015-03-01,2357,1193
2015-04-01,2432,1238
2015-05-01,2256,1136
2015-06-01,2279,1165
2015-07-01,2441,1140
2015-08-01,2418,1251
2015-09-01,2285,1147
2015-10-01,2303,1193
2015-11-01,2219,1104
2015-12-01,2241,1109
2016-01-01,2188,1070
2016-02-01,2252,1137
2016-03-01,2578,1245
2016-04-01,2325,1200
2016-05-01,2555,1329
2016-06-01,2604,1352
2016-07-01,2249,1142
2016-08-01,2563,1357
2016-09-01,2306,1247
2016-10-01,2189,1109
2016-11-01,2145,1077
2016-12-01,1975,1017
2017-01-01,2176,1177
2017-02-01,2285,1171
2017-03-01,2455,1290
2017-04-01,2355,1177
2017-05-01,2579,1307
2017-06-01,2628,1246
2017-07-01,2580,1274
2017-08-01,2648,1286
2017-09-01,2426,1185
2017-10-01,2555,1277
2017-11-01,2418,1208
2017-12-01,2314,1134
2018-01-01,2582,1304
2018-02-01,2232,1150
2018-03-01,2676,1420
2018-04-01,2493,1239
2018-05-01,2494,1240
2018-06-01,2455,1240
2018-07-01,2712,1289
2018-08-01,2650,1332
2018-09-01,2381,1209
2018-10-01,2541,1276
2018-11-01,2303,1148
2018-12-01,2269,1072
2019-01-01,2188,1059
2019-02-01,2102,977
2019-03-01,2381,1231
2019-04-01,2473,1234
2019-05-01,2492,1155
2019-06-01,2436,1260
2019-07-01,2732,1398
2019-08-01,2565,1303
2019-09-01,2384,1291
2019-10-01,2414,1206
2019-11-01,2264,1147
2019-12-01,2502,1229
2020-01-01,2542,1268
2020-02-01,2271,1114
2020-03-01,2060,926
2020-04-01,2076,932
2020-05-01,2246,896
2020-06-01,2206,902
2020-07-01,2437,991
2020-08-01,2445,1026
2020-09-01,2334,996
2020-10-01,2543,982
2020-11-01,2186,830
2020-12-01,2150,799
2021-01-01,2166,821
2021-02-01,2019,874
2021-03-01,2503,1060
2021-04-01,2332,904
2021-05-01,2179,828
2021-06-01,2569,878
