yr_month," Filed, amended, etc.",Deferred prosecution,Dismissed,"Filed, amended, etc.",Found Guilty at Trial,Found Not Guilty at Trial,Plead Guilty
2015-01-01,0,37,164,0,0,2,396
2015-02-01,1,34,211,4,5,1,376
2015-03-01,2,48,167,0,3,5,377
2015-04-01,4,57,205,2,7,2,387
2015-05-01,0,38,156,1,4,4,360
2015-06-01,0,44,183,3,4,3,440
2015-07-01,0,32,152,0,1,5,305
2015-08-01,3,26,174,0,3,1,388
2015-09-01,2,24,206,0,9,6,415
2015-10-01,2,36,223,0,15,7,463
2015-11-01,0,30,149,2,2,3,395
2015-12-01,0,32,157,0,5,3,356
2016-01-01,2,25,175,0,3,1,392
2016-02-01,0,39,207,3,5,2,371
2016-03-01,0,35,181,0,11,3,435
2016-04-01,2,34,138,0,9,3,310
2016-05-01,0,31,151,0,6,2,302
2016-06-01,1,23,175,0,7,5,336
2016-07-01,1,33,122,0,2,5,351
2016-08-01,2,32,136,1,6,6,316
2016-09-01,1,17,124,0,7,3,256
2016-10-01,1,22,175,2,8,7,338
2016-11-01,1,30,128,2,4,2,318
2016-12-01,0,25,86,0,0,2,244
2017-01-01,0,27,120,1,7,3,279
2017-02-01,0,28,139,0,6,9,292
2017-03-01,1,36,170,0,8,2,331
2017-04-01,1,32,158,0,5,3,375
2017-05-01,2,31,138,0,2,2,273
2017-06-01,0,39,138,0,12,6,365
2017-07-01,1,27,129,1,3,1,272
2017-08-01,2,42,135,0,6,4,348
2017-09-01,2,34,114,0,8,5,323
2017-10-01,0,53,128,1,4,3,360
2017-11-01,2,35,165,0,2,5,335
2017-12-01,1,37,130,0,3,5,270
2018-01-01,1,53,144,1,6,6,319
2018-02-01,0,50,195,0,7,3,323
2018-03-01,2,34,205,0,3,7,355
2018-04-01,0,25,162,0,2,5,300
2018-05-01,5,32,159,0,3,5,288
2018-06-01,3,25,154,0,5,5,257
2018-07-01,6,36,129,0,5,1,263
2018-08-01,3,26,154,0,4,3,240
2018-09-01,2,47,163,0,5,4,237
2018-10-01,5,54,194,0,6,9,309
2018-11-01,1,42,186,0,5,4,277
2018-12-01,8,36,133,3,4,6,265
2019-01-01,1,27,124,0,4,1,272
2019-02-01,0,53,165,0,9,5,324
2019-03-01,1,38,114,0,5,4,288
2019-04-01,2,46,123,0,9,6,275
2019-05-01,4,44,176,1,4,0,272
2019-06-01,7,47,182,3,8,2,290
2019-07-01,0,40,236,0,3,5,223
2019-08-01,2,57,198,0,4,3,274
2019-09-01,2,56,208,0,2,5,292
2019-10-01,9,77,258,1,6,5,346
2019-11-01,4,50,171,0,4,2,216
2019-12-01,0,42,166,0,1,2,249
2020-01-01,0,55,187,0,3,6,231
2020-02-01,1,46,166,0,5,2,214
2020-03-01,0,33,139,1,0,2,149
2020-04-01,4,0,37,0,0,0,6
2020-05-01,2,3,81,0,0,0,16
